year,group,n_pairs,n_coded,match_rate
2019,entrant (censored: first panel year),9455500,8595965,0.9090968219554756
2020,entrant,347720,317778,0.9138904865984124
2020,incumbent,6967327,6883808,0.9880127630007892
2020,recent_hire,1704797,1690109,0.9913843114458788
2021,entrant,346767,308885,0.8907566175558804
2021,incumbent,6883772,6803061,0.9882751782017184
2021,recent_hire,1999180,1983660,0.992236817095009
2022,entrant,345807,320115,0.9257042222974088
2022,incumbent,7119926,7037005,0.9883536710915254
2022,recent_hire,2333713,2317645,0.9931148346004844
2023,entrant,333690,329893,0.9886211753423836
2023,incumbent,7329349,7314255,0.99794060836781
2023,recent_hire,2188080,2184589,0.99840453731125
2024,entrant,162194,158970,0.9801225692689002
2024,incumbent,7491829,7475330,0.9977977340379766
2024,recent_hire,2004745,2001191,0.9982272059538744
2025,entrant,46065,44441,0.964745468359926
2025,incumbent,7096744,7079666,0.9975935443070794
2025,recent_hire,1059847,1057579,0.9978600684815828
