young_band,shape,period,coef,se,status
22-25,year,2023,-0.0177592660047959,0.0101083191797964,ok
22-25,year,2024,-0.0413961830257085,0.0139692177141578,ok
22-25,year,2025,-0.0402624137589838,0.0216170503300971,ok
22-25,quarter,2022Q4,0.0224623277511461,0.0051543945120064,ok
22-25,quarter,2023Q1,-0.0015429319367231,0.0099221430485362,ok
22-25,quarter,2023Q2,-0.009055980367183,0.0105366563749057,ok
22-25,quarter,2023Q3,-0.0161802993317863,0.0110535888784555,ok
22-25,quarter,2023Q4,-0.0260919571727128,0.0118218316920505,ok
22-25,quarter,2024Q1,-0.0089544984844767,0.0140055271335925,ok
22-25,quarter,2024Q2,-0.0218497835939424,0.0144377455715859,ok
22-25,quarter,2024Q3,-0.0518331196969729,0.0141879591983878,ok
22-25,quarter,2024Q4,-0.0628740657517169,0.0165631769170021,ok
22-25,quarter,2025Q1,-0.0031174430405686,0.0223066193567069,ok
22-25,quarter,2025Q2,-0.0518456769404288,0.0237722139800756,ok
22-25,month,2022-12,-0.0035119314071819,0.0062475262803496,ok
22-25,month,2023-01,0.0026679944498629,0.011164389867824,ok
22-25,month,2023-02,-0.005357072512741,0.0105459700875234,ok
22-25,month,2023-03,-0.0124825187234823,0.0102620045801189,ok
22-25,month,2023-04,-0.0005636134533507,0.0126028576301326,ok
22-25,month,2023-05,-0.0117418534950798,0.0123615375207687,ok
22-25,month,2023-06,-0.0180841736061286,0.0105019385011469,ok
22-25,month,2023-07,-0.0192671930262376,0.0114091082070219,ok
22-25,month,2023-08,-0.0195575574142196,0.0117400814938102,ok
22-25,month,2023-09,-0.0141210268143012,0.011404172254881,ok
22-25,month,2023-10,-0.029115742515667,0.0120240228465195,ok
22-25,month,2023-11,-0.0385425185570161,0.0125597289499554,ok
22-25,month,2023-12,-0.028415155862546,0.01263042872126,ok
22-25,month,2024-01,-0.0071229171880315,0.0173390637469377,ok
22-25,month,2024-02,-0.0114846678927818,0.015487698782616,ok
22-25,month,2024-03,-0.0183037453633827,0.014407686250738,ok
22-25,month,2024-04,-0.0060118420660435,0.0156505363041808,ok
22-25,month,2024-05,-0.0228111432464355,0.0154737440172021,ok
22-25,month,2024-06,-0.0392483751414144,0.0143816356519801,ok
22-25,month,2024-07,-0.0421158489685487,0.0146959840118153,ok
22-25,month,2024-08,-0.0603490022262669,0.0146428071544664,ok
22-25,month,2024-09,-0.0575464226622903,0.0141762707000448,ok
22-25,month,2024-10,-0.0648921357104202,0.0156040827031699,ok
22-25,month,2024-11,-0.061425321626019,0.0217941127206547,ok
22-25,month,2024-12,-0.0798982290704212,0.0164117245022687,ok
22-25,month,2025-01,-0.0195798799441306,0.0236075511143298,ok
22-25,month,2025-02,0.0208208263323045,0.0297166161093435,ok
22-25,month,2025-03,-0.0193789100695446,0.0228447556432035,ok
22-25,month,2025-04,-0.0175335222686314,0.0206879951580914,ok
22-25,month,2025-05,-0.0369275619026859,0.0203602039309336,ok
22-25,month,2025-06,-0.10027886520236,0.0403066810689949,ok
26-30,year,2023,-0.0055306371657379,0.0060302505211954,ok
26-30,year,2024,-0.025376779247278,0.009440961052143,ok
26-30,year,2025,-0.076255349705455,0.0138613208699077,ok
26-30,quarter,2022Q4,0.0081443713934496,0.0024837510536482,ok
26-30,quarter,2023Q1,-0.0014656418185556,0.005299459204284,ok
26-30,quarter,2023Q2,0.0008132432999221,0.0061639935119227,ok
26-30,quarter,2023Q3,-0.0050448064282093,0.0064945346017539,ok
26-30,quarter,2023Q4,-0.0122052127841096,0.006936394456863,ok
26-30,quarter,2024Q1,-0.0162963496166104,0.0084832803969782,ok
26-30,quarter,2024Q2,-0.015359344926736,0.0095881911324097,ok
26-30,quarter,2024Q3,-0.0291670470945837,0.0097851871134679,ok
26-30,quarter,2024Q4,-0.0364849461522706,0.0102755349058231,ok
26-30,quarter,2025Q1,-0.0644850198831808,0.0126411374711327,ok
26-30,quarter,2025Q2,-0.0793565670354393,0.0156111808997667,ok
